InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
INV1000,SKU611,Widget A,-3,03/04/2024 01:09,27.27,,UK
INV1001,SKU630,Widget C,10,02/09/2024 07:59,21.13,,Germany
INV1002,SKU974,Gadget D,-1,05/24/2024 11:46,65.87,,UK
INV1003,SKU478,Widget A,3,04/16/2024 07:35,57.85,,Canada
INV1004,SKU374,Widget C,-5,05/24/2024 14:50,65.62,,Germany
INV1005,SKU573,Widget A,3,01/29/2024 04:54,47.22,,USA
INV1006,SKU459,Gadget D,6,05/11/2024 09:12,99.98,,UK
INV1007,SKU213,Widget C,10,03/06/2024 15:25,81.47,10007.0,USA
INV1008,SKU279,Gadget D,-2,04/30/2024 23:15,60.23,10008.0,UK
INV1009,SKU763,Widget A,-1,05/29/2024 16:56,33.1,,UK
