InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
INV2000,SKU209,Widget C,6,06/13/2024 06:57,86.03,10000.0,Germany
INV2001,SKU287,Widget C,-3,05/27/2024 17:52,67.6,,Germany
INV2002,SKU214,Widget A,-4,06/15/2024 03:28,25.0,,USA
INV2003,SKU149,Gadget D,6,04/23/2024 06:20,82.64,,Canada
INV2004,SKU230,Widget B,-3,06/08/2024 05:54,59.42,10004.0,UK
INV2005,SKU436,Widget A,5,05/12/2024 20:14,68.48,10005.0,UK
INV2006,SKU456,Widget B,3,01/24/2024 14:28,56.38,,UK
INV2007,SKU256,Widget B,2,03/26/2024 11:11,5.97,,Germany
INV2008,SKU679,Widget B,1,05/05/2024 11:04,54.48,10008.0,USA
INV2009,SKU476,Widget B,-4,02/21/2024 05:57,80.13,,Canada
