InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
INV3000,SKU768,Widget C,3,02/15/2024 03:38,37.04,10000.0,Germany
INV3001,SKU882,Widget A,-5,01/31/2024 00:32,23.34,,Canada
INV3002,SKU144,Gadget D,-3,02/08/2024 20:06,83.92,10002.0,Canada
INV3003,SKU878,Widget C,4,02/05/2024 18:18,6.72,10003.0,Canada
INV3004,SKU328,Widget A,-4,05/13/2024 07:14,31.15,,UK
INV3005,SKU961,Widget B,4,07/16/2024 06:36,96.64,10005.0,UK
INV3006,SKU713,Gadget D,-2,05/12/2024 14:18,11.26,,Germany
INV3007,SKU483,Widget C,4,03/19/2024 10:21,83.55,10007.0,Canada
INV3008,SKU116,Widget C,7,04/29/2024 10:22,91.94,,USA
INV3009,SKU471,Widget A,-2,02/10/2024 21:39,6.82,10009.0,Canada
